s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
293.8561338;-9.8336064;-35.5189824;1.2666589;-0.0069342;11.5871132;-4.5708967
293.9561189;-9.9289925;-35.4890065;1.2659581;-0.0070838;11.5476036;-4.5540199
294.0561039;-10.0243569;-35.4589631;1.2652423;-0.0072333;11.508105;-4.5374037
294.156089;-10.1196999;-35.4288507;1.2645116;-0.0073829;11.4686153;-4.5210454
294.2560741;-10.2150203;-35.398668;1.263766;-0.0075325;11.4291322;-4.5049451
294.3560592;-10.3103183;-35.3684134;1.2630053;-0.007682;11.3896535;-4.4891004
294.4560442;-10.4055927;-35.3380858;1.2622298;-0.0078316;11.3501772;-4.4735113
294.5560293;-10.5008437;-35.3076834;1.2614393;-0.0079812;11.3107008;-4.4581751
294.6560144;-10.59607;-35.2772051;1.2606338;-0.0081308;11.2712222;-4.4430921
294.7559995;-10.6912719;-35.2466493;1.2598133;-0.0082804;11.2317392;-4.4282598
294.8559845;-10.7864481;-35.2160149;1.2589779;-0.00843;11.1922493;-4.4136784
294.9559696;-10.8815988;-35.1853001;1.2581276;-0.0085796;11.1527504;-4.3993456
295.0559547;-10.9767227;-35.1545038;1.2572623;-0.0087293;11.11324;-4.3852615
295.1559398;-11.0718201;-35.1236243;1.256382;-0.0088789;11.0737158;-4.3714239
295.2559248;-11.1668897;-35.0926606;1.2554867;-0.0090285;11.0341754;-4.3578328
295.3559099;-11.2619316;-35.061611;1.2545765;-0.0091782;10.9946165;-4.3444865
295.455895;-11.3569447;-35.0304742;1.2536514;-0.0093279;10.9550364;-4.3313848
295.55588;-11.451929;-34.9992488;1.2527113;-0.0094775;10.9154329;-4.3185259
295.6558651;-11.5468833;-34.9679334;1.2517562;-0.0096272;10.8758034;-4.3059097
295.7558502;-11.6418078;-34.9365266;1.2507861;-0.0097769;10.8361454;-4.2935348
295.8558353;-11.7367013;-34.9050271;1.2498011;-0.0099266;10.7964562;-4.281401
295.9558203;-11.8315637;-34.8734333;1.2488011;-0.0100763;10.7567335;-4.269506
296.0558054;-11.9263939;-34.8417441;1.2477861;-0.0102261;10.7169744;-4.2578503
296.1557905;-12.021192;-34.8099579;1.2467562;-0.0103758;10.6771765;-4.2464344
296.2557756;-12.1159568;-34.7780734;1.2457113;-0.0105255;10.637337;-4.2352571
296.3557606;-12.2106883;-34.746089;1.2446514;-0.0106753;10.5974532;-4.2243122
296.4557457;-12.3053852;-34.7140037;1.2435765;-0.0108251;10.5575223;-4.2136026
296.5557308;-12.4000477;-34.6818159;1.2424867;-0.0109749;10.5175416;-4.2031299
296.6557159;-12.4946745;-34.6495242;1.2413819;-0.0111247;10.4775084;-4.1928929
296.7557009;-12.5892657;-34.6171272;1.2402621;-0.0112746;10.4374196;-4.1829645
296.855686;-12.6838199;-34.5846238;1.2391273;-0.0114238;10.3972718;-4.1732883
296.9556711;-12.7783373;-34.5520122;1.2379777;-0.0115728;10.3570617;-4.1639072
297.0556562;-12.8728165;-34.5192914;1.2368131;-0.0117212;10.3167858;-4.1547727
297.1556412;-12.9672577;-34.4864598;1.2356338;-0.0118695;10.276441;-4.1458537
297.2556263;-13.0616595;-34.4535162;1.2344396;-0.0120179;10.2360243;-4.1371609
297.3556114;-13.156022;-34.4204591;1.2332305;-0.0121664;10.1955325;-4.1286984
297.4555965;-13.2503439;-34.3872874;1.2320066;-0.012315;10.1549627;-4.1204653
